Country,Year,Gov_Share
Costa Rica,2018,66.031
Canada,2010,68.46
Canada,2011,67.437
Canada,2012,67.485
Canada,2013,67.61
Canada,2014,67.816
Canada,2015,68.031
Canada,2016,67.693
Canada,2017,67.396
Canada,2018,67.048
Canada,2019,66.839
Canada,2020,66.688
Canada,2021,66.603
Canada,2022,66.624
Canada,2023,66.415
Thailand,2022,45.859
United States,2010,37.575
United States,2011,38.166
United States,2012,37.568
United States,2013,37.275
United States,2014,36.721
United States,2015,37.046
United States,2016,36.785
United States,2017,36.774
United States,2018,36.691
United States,2019,35.817
United States,2020,35.135
United States,2021,34.57
United States,2022,35.832
United States,2023,34.547
Malta,2022,58.886
Malta,2020,57.168
Malta,2021,58.542
Malta,2016,58.971
Malta,2017,58.827
Malta,2019,57.171
Malta,2018,59.542
Malta,2023,55.762
Costa Rica,2011,69.753
Costa Rica,2012,70.649
Costa Rica,2013,69.621
Costa Rica,2014,68.02
Costa Rica,2015,65.41
Costa Rica,2016,66.253
Costa Rica,2017,69.825
Costa Rica,2019,63.798
Costa Rica,2020,62.757
Costa Rica,2021,59.592
Costa Rica,2022,59.401
Costa Rica,2023,57.724
