Variable,High-income economies N,High-income economies mean,High-income economies standard deviation,Emerging economies N,Emerging economies mean,Emerging economies standard deviation,Mean difference
Health expenditure burden,448,9.297,2.204,70,6.714,1.684,2.583
Government financing share,28,51.88,15.724,13,65.295,4.377,-13.415
Population aged 65 years and above,448,18.025,3.375,70,8.744,1.996,9.28
Dependency ratio,448,52.875,5.943,70,47.121,3.058,5.754
Gross domestic product per capita,448,45226.693,24035.148,70,10998.399,2906.669,34228.295
Long-term care workforce,58,4.681,2.915,0,,,
Public health expenditure burden,28,6.743,0.787,13,4.889,0.479,1.854
Fiscal Pressure Index,448,494.956,137.491,70,313.831,69.634,181.125
Workforce adequacy ratio,58,0.267,0.194,0,,,
Affordability ratio,448,5066.222,3664.17,70,1740.576,594.107,3325.646
